sampleId,year,season,fireSeverity,fireSevN,vegType,vegTypeN,PFSI,SM,SMLag1,SMLag1Seas
5,2016,Spring,0,Unburnt,5,Forested Wetland,110.7904764,0.084993333,0.264510959,0.253334016
5,2017,Summer,0,Unburnt,5,Forested Wetland,-203.7151772,0.025594663,0.532325745,0.084993333
5,2017,Autumn,0,Unburnt,5,Forested Wetland,147.5686661,0.2691935,0.21007672,0.025594663
5,2017,Winter,0,Unburnt,5,Forested Wetland,26.59471956,0.21241568,0.253334016,0.2691935
5,2017,Spring,0,Unburnt,5,Forested Wetland,-78.16567281,0.090342894,0.084993333,0.21241568
5,2018,Summer,0,Unburnt,5,Forested Wetland,-0.336077142,0.210300729,0.025594663,0.090342894
5,2018,Autumn,0,Unburnt,5,Forested Wetland,-30.78766601,0.25632453,0.2691935,0.210300729
5,2018,Winter,0,Unburnt,5,Forested Wetland,-40.34369841,0.102513589,0.21241568,0.25632453
5,2018,Spring,0,Unburnt,5,Forested Wetland,-110.7559052,0.362143368,0.090342894,0.102513589
5,2019,Summer,0,Unburnt,5,Forested Wetland,-968.2042983,0.617527843,0.210300729,0.362143368
5,2019,Autumn,0,Unburnt,5,Forested Wetland,-99.5314404,0.37157774,0.25632453,0.617527843
5,2019,Winter,0,Unburnt,5,Forested Wetland,-218.1769395,0.109860383,0.102513589,0.37157774
5,2019,Spring,0,Unburnt,5,Forested Wetland,-982.4371319,0.159834266,0.362143368,0.109860383
5,2020,Summer,0,Unburnt,5,Forested Wetland,602.7042618,0.440710604,0.617527843,0.159834266
5,2020,Autumn,0,Unburnt,5,Forested Wetland,-63.360234,0.78279835,0.37157774,0.440710604
5,2020,Winter,0,Unburnt,5,Forested Wetland,149.7901835,0.698106527,0.109860383,0.78279835
5,2020,Spring,0,Unburnt,5,Forested Wetland,1519.980432,0.586422682,0.159834266,0.698106527
5,2021,Summer,0,Unburnt,5,Forested Wetland,737.2554835,0.757907987,0.440710604,0.586422682
5,2021,Autumn,0,Unburnt,5,Forested Wetland,-77.64486359,0.598953903,0.78279835,0.757907987
5,2021,Winter,0,Unburnt,5,Forested Wetland,-214.6225538,0.48243162,0.698106527,0.598953903
5,2021,Spring,0,Unburnt,5,Forested Wetland,-317.5475174,0.588102818,0.586422682,0.48243162
5,2022,Summer,0,Unburnt,5,Forested Wetland,8.501526073,0.826625049,0.757907987,0.588102818
5,2022,Autumn,0,Unburnt,5,Forested Wetland,312.1293551,0.871323526,0.598953903,0.826625049
